Date,State,Rolling Avg Cases,Rolling Avg Deaths
2020-03-13,Alabama,6.0,0.0
2020-03-14,Alabama,9.0,0.0
2020-03-15,Alabama,13.666666666666666,0.0
2020-03-16,Alabama,17.5,0.0
2020-03-17,Alabama,21.8,0.0
2020-03-18,Alabama,26.666666666666668,0.0
2020-03-19,Alabama,34.0,0.0
2020-03-20,Alabama,43.0,0.0
2020-03-21,Alabama,58.625,0.0
2020-03-22,Alabama,76.75,0.0
2020-03-23,Alabama,98.375,0.0
2020-03-24,Alabama,125.0,0.0
2020-03-25,Alabama,168.375,0.125
2020-03-26,Alabama,229.25,0.5
2020-03-27,Alabama,299.375,1.0
2020-03-28,Alabama,376.125,1.5
2020-03-29,Alabama,463.5,2.125
2020-03-30,Alabama,562.25,3.5
2020-03-31,Alabama,662.625,5.25
2020-04-01,Alabama,770.875,8.75
2020-04-02,Alabama,881.375,12.625
2020-04-03,Alabama,1006.0,17.0
2020-04-04,Alabama,1130.125,22.0
2020-04-05,Alabama,1270.125,27.125
2020-04-06,Alabama,1417.0,33.125
2020-04-07,Alabama,1573.25,39.75
2020-04-08,Alabama,1760.625,46.375
2020-04-09,Alabama,1976.875,52.625
2020-04-10,Alabama,2194.125,58.625
2020-04-11,Alabama,2410.0,65.5
2020-04-12,Alabama,2653.875,71.625
2020-04-13,Alabama,2899.5,79.0
2020-04-14,Alabama,3143.0,86.625
2020-04-15,Alabama,3398.5,94.0
2020-04-16,Alabama,3636.75,102.75
2020-04-17,Alabama,3853.5,111.875
2020-04-18,Alabama,4067.875,120.25
2020-04-19,Alabama,4273.0,128.625
2020-04-20,Alabama,4459.875,137.5
2020-04-21,Alabama,4650.125,147.75
2020-04-22,Alabama,4857.25,158.625
2020-04-23,Alabama,5056.125,167.875
2020-04-24,Alabama,5258.875,176.875
2020-04-25,Alabama,5464.0,184.625
2020-04-26,Alabama,5676.25,193.625
2020-04-27,Alabama,5880.75,202.125
2020-04-28,Alabama,6089.75,211.875
2020-04-29,Alabama,6289.5,221.375
2020-04-30,Alabama,6471.75,230.25
2020-05-01,Alabama,6654.5,241.75
2020-05-02,Alabama,6852.625,251.625
2020-05-03,Alabama,7062.0,261.25
2020-05-04,Alabama,7273.375,271.125
2020-05-05,Alabama,7510.625,282.0
2020-05-06,Alabama,7753.25,294.625
2020-05-07,Alabama,8018.375,308.0
2020-05-08,Alabama,8308.0,321.875
2020-05-09,Alabama,8604.75,334.5
2020-05-10,Alabama,8889.5,347.625
2020-05-11,Alabama,9174.0,361.75
2020-05-12,Alabama,9468.0,378.875
2020-05-13,Alabama,9750.875,395.75
2020-05-14,Alabama,10052.125,412.0
2020-05-15,Alabama,10343.0,426.25
2020-05-16,Alabama,10629.125,439.0
2020-05-17,Alabama,10892.0,451.25
2020-05-18,Alabama,11166.625,463.25
2020-05-19,Alabama,11443.125,475.875
2020-05-20,Alabama,11766.625,486.75
2020-05-21,Alabama,12105.875,496.625
2020-05-22,Alabama,12427.0,505.125
2020-05-23,Alabama,12774.0,513.375
2020-05-24,Alabama,13124.5,521.625
2020-05-25,Alabama,13526.375,531.375
2020-05-26,Alabama,13971.875,542.75
2020-05-27,Alabama,14428.875,552.625
2020-05-28,Alabama,14863.625,561.25
2020-05-29,Alabama,15315.75,571.375
2020-05-30,Alabama,15776.875,581.0
2020-05-31,Alabama,16252.25,591.125
2020-06-01,Alabama,16759.25,603.0
2020-06-02,Alabama,17232.375,613.875
2020-06-03,Alabama,17632.5,623.0
2020-06-04,Alabama,18012.5,631.75
2020-06-05,Alabama,18369.625,642.375
2020-06-06,Alabama,18746.125,652.25
2020-06-07,Alabama,19138.75,661.5
2020-06-08,Alabama,19510.375,672.5
2020-06-09,Alabama,19871.375,682.875
2020-06-10,Alabama,20273.625,694.25
2020-06-11,Alabama,20772.875,707.0
2020-06-12,Alabama,21352.625,721.5
2020-06-13,Alabama,22004.375,733.625
2020-06-14,Alabama,22700.875,744.125
2020-06-15,Alabama,23422.375,754.375
2020-06-16,Alabama,24170.75,762.75
2020-06-17,Alabama,24907.0,770.375
2020-06-18,Alabama,25684.125,778.625
2020-06-19,Alabama,26453.75,787.0
2020-06-20,Alabama,27183.625,795.625
2020-06-21,Alabama,27861.125,803.875
2020-06-22,Alabama,28466.0,812.375
2020-06-23,Alabama,29069.125,823.625
2020-06-24,Alabama,29713.125,836.875
2020-06-25,Alabama,30449.875,850.125
2020-06-26,Alabama,31197.0,862.25
2020-06-27,Alabama,31957.125,874.375
2020-06-28,Alabama,32693.625,884.5
2020-06-29,Alabama,33587.875,895.75
2020-06-30,Alabama,34536.75,909.375
2020-07-01,Alabama,35519.875,922.875
2020-07-02,Alabama,36525.75,934.625
2020-07-03,Alabama,37608.125,948.375
2020-07-04,Alabama,38693.0,960.875
2020-07-05,Alabama,39801.75,971.875
2020-07-06,Alabama,40981.375,982.875
2020-07-07,Alabama,42057.625,995.875
2020-07-08,Alabama,43172.25,1009.375
2020-07-09,Alabama,44448.75,1021.375
2020-07-10,Alabama,45748.375,1036.25
2020-07-11,Alabama,47008.625,1049.75
2020-07-12,Alabama,48349.25,1064.0
2020-07-13,Alabama,49798.25,1078.625
2020-07-14,Alabama,51345.375,1098.25
2020-07-15,Alabama,53005.625,1120.5
2020-07-16,Alabama,54771.375,1142.0
2020-07-17,Alabama,56511.0,1166.625
2020-07-18,Alabama,58351.75,1189.375
2020-07-19,Alabama,60234.75,1211.0
2020-07-20,Alabama,62147.75,1232.25
2020-07-21,Alabama,63999.375,1254.625
2020-07-22,Alabama,65819.125,1279.625
2020-07-23,Alabama,67712.25,1302.875
2020-07-24,Alabama,69576.875,1328.875
2020-07-25,Alabama,71456.75,1352.75
2020-07-26,Alabama,73214.25,1376.125
2020-07-27,Alabama,74977.25,1401.625
2020-07-28,Alabama,76661.625,1426.625
2020-07-29,Alabama,78339.625,1456.0
2020-07-30,Alabama,80083.25,1481.125
2020-07-31,Alabama,81772.125,1504.0
2020-08-01,Alabama,83440.125,1524.625
2020-08-02,Alabama,85104.375,1546.0
2020-08-03,Alabama,86775.25,1566.0
2020-08-04,Alabama,88348.625,1587.875
2020-08-05,Alabama,89884.625,1613.375
2020-08-06,Alabama,91485.875,1635.375
2020-08-07,Alabama,93053.25,1656.625
2020-08-08,Alabama,94609.5,1678.5
2020-08-09,Alabama,96107.625,1699.125
2020-08-10,Alabama,97554.625,1720.375
2020-08-11,Alabama,98953.375,1747.125
2020-08-12,Alabama,100338.875,1774.125
2020-08-13,Alabama,101701.75,1798.5
2020-08-14,Alabama,102916.375,1820.875
2020-08-15,Alabama,104076.25,1841.0
2020-08-16,Alabama,105108.75,1858.875
2020-08-17,Alabama,106067.5,1878.5
2020-08-18,Alabama,106985.125,1895.875
2020-08-19,Alabama,107938.5,1908.0
2020-08-20,Alabama,108896.375,1919.5
2020-08-21,Alabama,109905.75,1932.75
2020-08-22,Alabama,110933.625,1947.5
2020-08-23,Alabama,111868.625,1962.125
2020-08-24,Alabama,112903.25,1977.875
2020-08-25,Alabama,113933.0,1991.875
2020-08-26,Alabama,115044.625,2005.5
2020-08-27,Alabama,116237.75,2022.0
2020-08-28,Alabama,117454.75,2038.625
2020-08-29,Alabama,118736.875,2058.125
2020-08-30,Alabama,120074.75,2077.0
2020-08-31,Alabama,121449.5,2098.125
2020-09-01,Alabama,122812.75,2120.125
2020-09-02,Alabama,124187.375,2142.625
2020-09-03,Alabama,125441.25,2166.125
2020-09-04,Alabama,126612.5,2189.875
2020-09-05,Alabama,127814.75,2210.875
2020-09-06,Alabama,128867.875,2226.375
2020-09-07,Alabama,129835.125,2240.625
2020-09-08,Alabama,130778.625,2252.5
2020-09-09,Alabama,131628.75,2263.125
2020-09-10,Alabama,132544.5,2273.625
2020-09-11,Alabama,133471.75,2286.125
2020-09-12,Alabama,134378.375,2296.625
2020-09-13,Alabama,135247.375,2306.125
2020-09-14,Alabama,136140.5,2316.0
2020-09-15,Alabama,137038.875,2329.875
2020-09-16,Alabama,137974.0,2344.25
2020-09-17,Alabama,138891.5,2358.75
2020-09-18,Alabama,139803.75,2374.625
2020-09-19,Alabama,140736.375,2387.625
2020-09-20,Alabama,141650.875,2398.5
2020-09-21,Alabama,142529.0,2409.5
2020-09-22,Alabama,143419.625,2422.25
2020-09-23,Alabama,144293.75,2434.875
2020-09-24,Alabama,145183.625,2449.125
2020-09-25,Alabama,146296.25,2460.375
2020-09-26,Alabama,147387.25,2469.5
2020-09-27,Alabama,148406.875,2477.625
2020-09-28,Alabama,149409.5,2485.625
2020-09-29,Alabama,150381.25,2495.375
2020-09-30,Alabama,151395.875,2505.75
2020-10-01,Alabama,152469.75,2513.25
2020-10-02,Alabama,153531.25,2518.75
2020-10-03,Alabama,154496.5,2527.125
2020-10-04,Alabama,155443.75,2534.25
2020-10-05,Alabama,156367.75,2541.375
2020-10-06,Alabama,157304.5,2551.25
2020-10-07,Alabama,158287.5,2561.75
2020-10-08,Alabama,159196.75,2573.875
2020-10-09,Alabama,160161.875,2587.0
2020-10-10,Alabama,161140.375,2601.25
2020-10-11,Alabama,162010.625,2614.5
2020-10-12,Alabama,162874.0,2627.875
2020-10-13,Alabama,163809.0,2641.125
2020-10-14,Alabama,164746.5,2656.875
2020-10-15,Alabama,165714.5,2676.25
2020-10-16,Alabama,166764.375,2694.875
2020-10-17,Alabama,167789.0,2711.75
2020-10-18,Alabama,168801.5,2727.25
2020-10-19,Alabama,169819.375,2742.875
2020-10-20,Alabama,170875.875,2760.375
2020-10-21,Alabama,171936.0,2780.75
2020-10-22,Alabama,173071.875,2797.875
2020-10-23,Alabama,174541.125,2810.75
2020-10-24,Alabama,176153.875,2820.75
2020-10-25,Alabama,177740.5,2830.5
2020-10-26,Alabama,179327.5,2840.25
2020-10-27,Alabama,180946.5,2853.125
2020-10-28,Alabama,182593.75,2866.375
